Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,10.505000,10.505000,10.455000,10.510000,10.510000,8866
2021-10-26,10.390000,11.983820,10.390000,10.332500,10.332500,107
2021-10-27,10.260000,10.260000,10.090000,10.097500,10.097500,5251
2021-10-28,10.300000,10.300000,10.220000,10.235000,10.235000,4192
2021-10-29,10.110000,10.250000,10.110000,10.315000,10.315000,34768
2021-11-01,10.305000,10.305000,10.230000,10.252500,10.252500,2527
2021-11-02,10.170000,10.276870,10.113700,10.195000,10.195000,640
2021-11-03,10.140000,10.145000,10.120000,10.107500,10.107500,7176
2021-11-04,10.145000,10.145000,9.850000,9.851250,9.851250,11585
2021-11-05,9.640000,9.807500,9.612500,9.837500,9.837500,1029
2021-11-08,9.740000,9.900000,9.740000,9.951250,9.951250,240
2021-11-09,10.020670,10.020670,9.550810,9.991250,9.991250,70
2021-11-10,10.017500,10.017500,10.017500,10.017500,10.017500,0
2021-11-11,9.966250,9.966250,9.966250,9.966250,9.966250,0
2021-11-12,9.975000,9.975000,9.975000,9.955000,9.955000,5000
2021-11-15,9.783750,9.783750,9.783750,9.783750,9.783750,0
2021-11-16,9.790000,9.868070,9.735000,9.808750,9.808750,6250
2021-11-17,9.757500,9.757500,9.757500,9.735000,9.735000,5600
2021-11-18,9.617500,9.630000,9.617500,9.658750,9.658750,78
2021-11-19,9.912500,9.912500,9.912500,9.912500,9.912500,0
2021-11-22,10.190000,10.190000,10.190000,10.222500,10.222500,196
2021-11-23,10.295000,10.295000,9.701100,10.095000,10.095000,7400
2021-11-24,10.220000,10.220000,10.145000,10.142500,10.142500,16400
2021-11-25,10.140000,10.140000,10.060000,10.082500,10.082500,5650
2021-11-26,9.740000,9.740000,9.732500,9.758750,9.758750,232
2021-11-29,9.840000,9.840000,9.840000,9.776250,9.776250,50
2021-11-30,9.800000,10.033680,9.777500,9.748750,9.748750,14300
2021-12-01,9.760000,9.802500,9.760000,9.735000,9.735000,240
2021-12-02,9.775000,9.775000,9.625000,9.625000,9.625000,6800
2021-12-03,9.780000,9.780000,9.742500,9.657500,9.657500,1382
2021-12-06,9.592500,9.615000,9.567500,9.667500,9.667500,10890
2021-12-07,9.842500,9.880500,9.741510,9.852500,9.852500,5534
2021-12-08,9.917500,9.965000,9.917500,10.120000,10.120000,5697
2021-12-09,10.125000,10.135000,10.055000,10.097500,10.097500,23800
2021-12-10,10.085000,10.175000,10.085000,10.152500,10.152500,10545
2021-12-13,10.175000,10.180000,10.175000,10.157500,10.157500,7000
2021-12-14,10.150000,10.150000,9.828860,10.085000,10.085000,12000
2021-12-15,9.920000,9.920000,9.920000,10.008750,10.008750,9000
2021-12-16,10.250000,10.530000,10.250000,10.497500,10.497500,13203
2021-12-17,10.505000,10.505000,10.395000,10.320000,10.320000,120570
2021-12-20,10.255000,10.255000,10.255000,10.232500,10.232500,43
2021-12-21,10.375000,10.495000,10.375000,10.485000,10.485000,15620
2021-12-22,10.650000,10.825000,10.650000,10.800000,10.800000,10445
