Open,Close,High,Low,Volume,Date
0,2619.5,2632.16,2600,1,517.00,08/26/21
0,2617.3,2631.26,2604.25,1,036.00,08/25/21
0,2614.85,2627.15,2606.7,2,020.00,08/24/21
0,2602.15,2602.15,2571.75,1,050.00,08/23/21
0,2565.87,2568,2546.5,741.00,08/20/21
0,2538.95,2568.75,2520,1,293.00,08/19/21
0,2555.15,2583,2554.85,979.00,08/18/21
0,2599.5,2632,2599.3,1,012.00,08/17/21
0,2605.22,2626.15,2600,1,602.00,08/16/21
0,2599.85,2600.1,2588.75,905.00,08/13/21
0,2582.35,2600.15,2575.68,626.00,08/12/21
0,2585.7,2591,2577.35,464.00,08/11/21
0,2574.7,2585.75,2557.25,567.00,08/10/21
0,2547.45,2561,2545.18,619.00,08/09/21
0,2598.5,2621.65,2598.5,280.00,08/06/21
0,2587.8,2589.2,2571.25,1,061.00,08/05/21
0,2563.01,2581.75,2563.01,573.00,08/04/21
0,2586,2601,2585.8,861.00,08/03/21
0,2615.85,2628.65,2615.15,677.00,08/02/21
0,2590.15,2633.3,2590,2,775.00,07/30/21
0,2582.74,2591.65,2538.15,2,106.00,07/29/21
0,2526.28,2537.2,2491.06,1,381.00,07/28/21
0,2500.5,2521.5,2485.1,784.00,07/27/21
0,2522.15,2522.15,2492.85,685.00,07/26/21
0,2496.74,2504.85,2478.75,471.00,07/23/21
0,2462.15,2483.15,2455.62,665.00,07/22/21
0,2456,2460.96,2440.5,318.00,07/21/21
0,2455.09,2465.65,2436.08,1,234.00,07/20/21
0,2432.85,2465.1,2425.35,1,668.00,07/19/21
0,2507.68,2524.75,2488.35,1,106.00,07/16/21
0,2519,2533.1,2510.3,1,164.00,07/15/21
0,2531.05,2534.15,2521.25,710.00,07/14/21
0,2529.05,2535.6,2486.75,626.00,07/13/21
0,2489.5,2492.5,2468.35,1,107.00,07/12/21
0,2503.32,2503.32,2457,473.00,07/09/21
0,2453.85,2461.5,2441.9,1,171.00,07/08/21
0,2510,2528.15,2493.88,600.00,07/07/21
0,2530,2556.89,2516.18,1,244.00,07/06/21
0,2555.85,2572.25,2555.8,421.00,07/05/21
0,2543.65,2562.15,2523.1,1,360.00,07/02/21
0,2512,2512,2497.35,306.00,07/01/21
0,2505.1,2551,2505,1,019.00,06/30/21
0,2551.5,2551.65,2512.75,844.00,06/29/21
0,2486.63,2505,2477.35,789.00,06/28/21
0,2485.85,2492,2440.05,2,065.00,06/25/21
0,2430.15,2440,2423.85,1,143.00,06/24/21
0,2434.77,2439.65,2415.85,472.00,06/23/21
0,2407.83,2425.15,2402.85,1,162.00,06/22/21
0,2372,2405.63,2357.05,327.00,06/21/21
0,2384.85,2397.5,2378.55,462.00,06/18/21
0,2361.65,2455.55,2361.65,304.00,06/17/21
