Date,Close/Last,Volume,Open,High,Low
04/28/2022,3005.25,26,3037.75,3037.75,3037.75
04/27/2022,3066.50,N/A,3066.50,3066.50,3066.50
04/26/2022,3040.25,N/A,3040.25,3040.25,3040.25
04/25/2022,3054.50,N/A,3054.50,3054.50,3054.50
04/22/2022,3203.00,N/A,3203.00,3203.00,3203.00
04/21/2022,3264.00,N/A,3264.00,3264.00,3264.00
04/20/2022,3237.50,N/A,3237.50,3237.50,3237.50
04/19/2022,3212.50,N/A,3212.50,3212.50,3212.50
04/18/2022,3471.50,N/A,3471.50,3471.50,3471.50
04/14/2022,3273.50,14,3248.50,3270.25,3244.25
04/13/2022,3229.75,42,3278.50,3279.50,3228.75
04/12/2022,3252.50,9,3263.50,3263.50,3221.50
04/11/2022,3232.75,585,3295.50,3295.50,3224.50
04/08/2022,3340.75,N/A,3340.75,3340.75,3340.75
04/07/2022,3352.75,N/A,3352.75,3352.75,3352.75
04/06/2022,3402.00,137,3453.00,3471.50,3402.50
04/05/2022,3444.75,18,3455.00,3465.00,3455.00
04/04/2022,3454.75,25,3507.25,3527.00,3486.00
04/01/2022,3480.25,1,3522.50,3522.50,3522.50
03/31/2022,3518.50,3,3487.00,3501.00,3465.00
03/30/2022,3572.00,4,3574.75,3574.75,3574.75
03/29/2022,3465.50,5,3437.50,3463.75,3437.50
03/28/2022,3619.25,5,3625.25,3625.25,3610.25
03/25/2022,3606.50,1,3585.75,3585.75,3585.75
03/24/2022,3629.75,296,3673.00,3673.00,3666.00
03/23/2022,3611.75,5,3535.00,3616.00,3515.00
03/22/2022,3497.25,50,3525.50,3525.50,3489.00
03/21/2022,3506.75,36,3541.00,3541.00,3500.00
03/18/2022,3394.00,4,3394.50,3394.50,3394.50
03/17/2022,3353.75,32,3311.00,3371.50,3311.00
03/16/2022,3274.50,12,3274.50,3274.50,3274.50
03/15/2022,3240.25,68,3262.00,3272.00,3262.00
03/14/2022,3354.75,109,3361.50,3388.00,3301.00
03/11/2022,3479.75,15,3404.25,3488.50,3404.25
03/10/2022,3394.50,18,3384.50,3521.00,3384.50
03/09/2022,3315.50,76,3579.00,3579.00,3307.50
03/08/2022,3453.50,317,3774.25,3774.25,3426.50
03/07/2022,3719.00,4,3965.00,3965.00,3965.00
03/04/2022,3850.00,N/A,3850.00,3850.00,3850.00
03/03/2022,3744.25,1320,3650.00,3757.25,3650.00
03/02/2022,3597.75,8,3570.00,3602.75,3570.00
03/01/2022,3496.75,84,3484.50,3517.50,3482.50
02/28/2022,3396.75,135,3435.50,3435.50,3435.50
02/25/2022,3381.00,61,3335.25,3382.50,3329.00
02/24/2022,3424.50,106,3445.00,3486.50,3347.25
02/23/2022,3325.00,96,3306.50,3316.75,3283.00
02/22/2022,3316.25,39,3316.00,3316.00,3316.00
02/18/2022,3297.00,N/A,3297.00,3297.00,3297.00
02/17/2022,3308.25,N/A,3308.25,3308.25,3308.25
02/16/2022,3312.50,10,3310.00,3310.00,3289.75
02/15/2022,3265.00,14,3250.00,3250.00,3249.75
02/14/2022,3264.50,1,3264.50,3264.50,3264.50
02/11/2022,3268.25,N/A,3268.25,3268.25,3268.25
02/10/2022,3305.00,5,3305.00,3305.00,3305.00
02/09/2022,3303.25,34,3303.25,3303.25,3303.25
02/08/2022,3230.25,64,3260.25,3260.25,3243.25
02/07/2022,3164.50,35,3167.50,3172.75,3157.25
02/04/2022,3099.25,91,3097.75,3098.25,3097.75
02/03/2022,3065.00,91,3059.50,3081.50,3049.00
02/02/2022,3042.25,108,3095.75,3099.50,3031.50
02/01/2022,3081.75,20,3098.00,3111.25,3075.50
01/31/2022,3084.00,14,3109.50,3109.75,3082.50
01/28/2022,3143.00,N/A,3143.00,3143.00,3143.00
01/27/2022,3159.00,N/A,3159.00,3159.00,3159.00
01/26/2022,3147.00,1,3133.75,3133.75,3133.75
01/25/2022,3147.75,N/A,3147.75,3147.75,3147.75
01/24/2022,3088.00,1,3083.00,3083.00,3083.00
01/21/2022,3090.75,1,3100.25,3100.25,3100.25
01/20/2022,3168.25,3,3107.25,3168.25,3107.25
01/19/2022,3107.25,50,3089.25,3108.75,3089.25
01/18/2022,3070.00,24,3038.00,3072.00,3038.00
01/14/2022,3022.25,N/A,3022.25,3022.25,3022.25
01/13/2022,3003.50,3,3029.00,3029.00,3002.25
01/12/2022,3033.25,81,3018.00,3056.00,3001.25
01/11/2022,3010.50,126,2965.75,3009.00,2965.25
01/10/2022,2958.25,913,2964.25,2971.00,2953.00
01/07/2022,2944.00,1168,3000.00,3000.00,2930.50
01/06/2022,2949.50,882,2946.75,2950.50,2908.75
01/05/2022,2935.50,1165,2885.50,2960.50,2883.50
01/04/2022,2854.75,16,2860.25,2860.25,2852.50
01/03/2022,2661.75,N/A,2661.75,2661.75,2661.75
12/31/2021,2804.50,N/A,2804.50,2804.50,2804.50
12/30/2021,2834.50,N/A,2834.50,2834.50,2834.50
12/29/2021,2829.00,7,2829.00,2829.00,2829.00
12/28/2021,2661.75,N/A,2661.75,2661.75,2661.75
12/27/2021,2855.50,N/A,2855.50,2855.50,2855.50
12/23/2021,2863.25,3,2845.50,2851.50,2842.75
12/22/2021,2859.00,1274,2833.50,2865.25,2833.50
12/21/2021,2763.75,N/A,2763.75,2763.75,2763.75
12/20/2021,2649.00,12,2656.25,2661.75,2656.25
12/17/2021,2696.75,N/A,2696.75,2696.75,2696.75
12/16/2021,2655.50,N/A,2655.50,2655.50,2655.50
12/15/2021,2585.50,19,2585.50,2585.50,2585.50
12/14/2021,2614.50,5,2620.50,2620.50,2612.50
12/13/2021,2647.25,5,2649.00,2649.00,2649.00
12/10/2021,2596.25,56,2617.00,2618.50,2607.25
12/09/2021,2625.00,1663,2617.50,2628.50,2611.25
12/08/2021,2603.75,127,2621.00,2621.25,2606.50
12/07/2021,2629.25,4,2629.25,2629.25,2629.25
12/06/2021,2594.25,31,2600.00,2600.00,2600.00
12/03/2021,2623.75,N/A,2623.75,2623.75,2623.75
12/02/2021,2612.75,N/A,2612.75,2612.75,2612.75
12/01/2021,2652.00,2,2664.25,2664.25,2664.25
11/30/2021,2609.25,20,2609.25,2609.25,2609.25
11/29/2021,2618.00,N/A,2618.00,2618.00,2618.00
11/26/2021,2611.75,11,2720.00,2720.00,2583.00
11/24/2021,2695.00,N/A,2695.00,2695.00,2695.00
11/23/2021,2678.50,1,2676.75,2676.75,2676.75
11/22/2021,2688.00,2,2664.50,2681.00,2664.50
11/19/2021,2693.50,20,2695.00,2698.50,2686.50
11/18/2021,2630.75,N/A,2630.75,2630.75,2630.75
11/17/2021,2626.25,12,2620.00,2624.50,2615.00
11/16/2021,2568.25,22,2579.00,2583.25,2565.75
11/15/2021,2636.75,20,2652.50,2652.50,2652.50
11/12/2021,2674.50,30,2654.50,2703.50,2654.50
11/11/2021,2636.25,34,2608.75,2645.75,2608.75
11/10/2021,2569.25,1009,2584.00,2606.50,2556.75
11/09/2021,2562.75,795,2586.75,2599.75,2572.50
11/08/2021,2607.00,878,2553.75,2607.00,2553.00
11/05/2021,2577.75,1292,2542.50,2586.25,2532.75
11/04/2021,2578.75,1013,2692.25,2694.50,2554.25
11/03/2021,2675.00,800,2730.00,2751.00,2663.50
11/02/2021,2717.25,1303,2694.00,2743.00,2692.25
11/01/2021,2743.00,12,2752.00,2752.00,2743.00
10/29/2021,2733.50,1009,2764.50,2764.50,2685.25
10/28/2021,2769.00,73,2689.50,2783.50,2689.50
10/27/2021,2735.00,28,2875.00,2875.00,2751.50
10/26/2021,2866.50,N/A,2866.50,2866.50,2866.50
10/25/2021,2908.00,N/A,2908.00,2908.00,2908.00
10/22/2021,2907.75,N/A,2907.75,2907.75,2907.75
10/21/2021,2935.50,N/A,2935.50,2935.50,2935.50
10/20/2021,3108.75,N/A,3108.75,3108.75,3108.75
10/19/2021,3138.25,N/A,3138.25,3138.25,3138.25
10/18/2021,3202.50,N/A,3202.50,3202.50,3202.50
10/15/2021,3171.00,N/A,3171.00,3171.00,3171.00
10/14/2021,3130.50,N/A,3130.50,3130.50,3130.50
10/13/2021,3038.75,N/A,3038.75,3038.75,3038.75
10/12/2021,3108.75,N/A,3108.75,3108.75,3108.75
10/11/2021,3111.50,N/A,3111.50,3111.50,3111.50
10/08/2021,3011.25,N/A,3011.25,3011.25,3011.25
10/07/2021,2991.00,N/A,2991.00,2991.00,2991.00
10/06/2021,2942.00,N/A,2942.00,2942.00,2942.00
10/05/2021,2966.50,N/A,2966.50,2966.50,2966.50
10/04/2021,2957.25,N/A,2957.25,2957.25,2957.25
10/01/2021,2902.25,N/A,2902.25,2902.25,2902.25
09/30/2021,2903.00,N/A,2903.00,2903.00,2903.00
09/29/2021,2965.25,N/A,2965.25,2965.25,2965.25
09/28/2021,2991.75,N/A,2991.75,2991.75,2991.75
09/27/2021,2940.75,N/A,2940.75,2940.75,2940.75
